ds,y
2017/6/21,318.2
2017/6/22,280
2017/6/23,273.5
2017/6/24,278.5
2017/6/25,290.5
2017/6/26,302
2017/6/27,305.9
2017/6/28,307.2
2017/6/29,308.2
2017/6/30,314.2
2017/7/1,306.7
2017/7/2,312.2
2017/7/3,322.3
2017/7/4,297.2
2017/7/5,307
2017/7/6,288.8
2017/7/7,305
2017/7/8,293.3
2017/7/9,301.8
2017/7/10,312.8
2017/7/11,315.6
2017/7/12,323.6
2017/7/13,329.1
2017/7/14,315.5
2017/7/15,290.1
2017/7/16,303.1
2017/7/17,314.7
2017/7/18,307.3
2017/7/19,308.5
2017/7/20,309.9
2017/7/21,285.2
2017/7/22,281.2
2017/7/23,288.6
2017/7/24,299.6
2017/7/25,297.6
2017/7/26,282.4
2017/7/27,293.6
2017/7/28,293.6
2017/7/29,285.1
2017/7/30,295.7
2017/7/31,308
2017/8/1,305.6
2017/8/2,302.4
2017/8/3,304.2
2017/8/4,301.9
2017/8/5,290.4
2017/8/6,297.3
2017/8/7,313.2
2017/8/8,311.2
2017/8/9,295.1
2017/8/10,302
2017/8/11,293.4
2017/8/12,268
2017/8/13,279.4
2017/8/14,294.9
2017/8/15,295.1
2017/8/16,290.5
2017/8/17,293.6
2017/8/18,286.7
2017/8/19,278.5
2017/8/20,288
2017/8/21,304.7
2017/8/22,294.7
2017/8/23,295.3
2017/8/24,297.7
2017/8/25,296.1
2017/8/26,281.6
2017/8/27,268.3
2017/8/28,291.7
2017/8/29,291.7
2017/8/30,292.8
2017/8/31,288.3
2017/9/1,287.6
2017/9/2,280.5
2017/9/3,288.9
2017/9/4,297.4
2017/9/5,298.5
2017/9/6,303.8
2017/9/7,308.8
2017/9/8,309.6
2017/9/9,294.2
2017/9/10,289.8
2017/9/11,302.7
2017/9/12,305.9
2017/9/13,307.1
2017/9/14,306.3
2017/9/15,299.2
2017/9/16,291.2
2017/9/17,299.5
2017/9/18,312.6
2017/9/19,311.9
2017/9/20,313.1
2017/9/21,309
2017/9/22,306.4
2017/9/23,299.4
2017/9/24,307.2
2017/9/25,310.1
2017/9/26,293.4
2017/9/27,295.7
2017/9/28,300.7
2017/9/29,299.5
2017/9/30,292.7
2017/10/1,263
2017/10/2,240
2017/10/3,242.9
2017/10/4,241
2017/10/5,249.5
2017/10/6,256.2
2017/10/7,259.4
2017/10/8,269.5
2017/10/9,265.8
2017/10/10,269
2017/10/11,278.7
2017/10/12,275
2017/10/13,278.5
2017/10/14,267.8
2017/10/15,277.1
2017/10/16,280.4
2017/10/17,276.5
2017/10/18,266
2017/10/19,275.9
2017/10/20,272.6
2017/10/21,270
2017/10/22,270
2017/10/23,278.9
2017/10/24,275.9
2017/10/25,272.4
2017/10/26,273.4
2017/10/27,271.6
2017/10/28,269.6
2017/10/29,280
2017/10/30,283.8
2017/10/31,280.4
2017/11/1,282.5
2017/11/2,281.3
2017/11/3,280.4
2017/11/4,275.9
2017/11/5,280
2017/11/6,283.9
2017/11/7,283.3
2017/11/8,284.1
2017/11/9,281.3
2017/11/10,283
2017/11/11,276.9
2017/11/12,284.5
2017/11/13,285
2017/11/14,282.8
2017/11/15,284.3
2017/11/16,282.3
2017/11/17,279.9
2017/11/18,270.7
2017/11/19,274.5
2017/11/20,277.7
2017/11/21,274.8
2017/11/22,274.5
2017/11/23,272.1
2017/11/24,271.9
2017/11/25,268.1
2017/11/26,273.6
2017/11/27,273.8
2017/11/28,272.9
2017/11/29,272.1
2017/11/30,271.8
2017/12/1,271.1
2017/12/2,266
2017/12/3,272.2
2017/12/4,271.5
2017/12/5,270.1
2017/12/6,268.8
2017/12/7,266.1
2017/12/8,265.7
2017/12/9,261.8
2017/12/10,267.3
2017/12/11,267
2017/12/12,263.7
2017/12/13,265.9
2017/12/14,264.1
2017/12/15,266
2017/12/16,265.4
2017/12/17,273.6
2017/12/18,271.2
2017/12/19,273.8
2017/12/20,272.4
2017/12/21,264.7
2017/12/22,267.9
2017/12/23,267.37046
2017/12/24,267.05776
2017/12/25,271.9
2017/12/26,269.7
2017/12/27,267.3
2017/12/28,265.6
2017/12/29,264.6
2017/12/30,265.3
2017/12/31,267.05776
2018/1/1,264.7
2018/1/2,266.4
2018/1/3,264.04158
2018/1/4,263.1
2018/1/5,266.4
2018/1/6,261.7
2018/1/7,267.4
2018/1/8,269
2018/1/9,266.2
2018/1/10,261.56449
2018/1/11,261.11494
2018/1/12,260.80894
2018/1/13,260.34022
2018/1/14,271.7
2018/1/15,270.3
2018/1/16,259.04
2018/1/17,258.68
2018/1/18,258.166
2018/1/19,266.6
2018/1/20,257.263
2018/1/21,256.7036
2018/1/22,256.32205
2018/1/23,265.5
2018/1/24,255.23729
2018/1/25,254.72861
2018/1/26,254.10227
2018/1/27,253.67566
2018/1/28,253.02184
2018/1/29,252.57651
2018/1/30,251.89402
2018/1/31,251.19376
2018/2/1,250.71683
2018/2/2,249.98596
2018/2/3,249.4
2018/2/4,248.72547
2018/2/5,248
2018/2/6,261.5
2018/2/7,260.1
2018/2/8,257.6
2018/2/9,255.8
2018/2/10,255.1
2018/2/11,249
2018/2/12,244.5
2018/2/13,240
2018/2/14,235
2018/2/15,218
2018/2/16,190.9
2018/2/17,192.2
2018/2/18,195.6
2018/2/19,202.2
2018/2/20,210
2018/2/21,226.4
2018/2/22,238.4
2018/2/23,240.2
2018/2/24,243
2018/2/25,251
2018/2/26,256.1
2018/2/27,253.3
2018/2/28,256.6
2018/3/1,260.6
2018/3/2,259.2
2018/3/3,256.9
2018/3/4,264.2
2018/3/5,269.5
2018/3/6,267.6
2018/3/7,266
2018/3/8,269.9
2018/3/9,271.9
2018/3/10,273.6
2018/3/11,278.2
2018/3/12,284.1
2018/3/13,287.8
2018/3/14,289.1
2018/3/15,283.4
2018/3/16,282.7
2018/3/17,260.2
2018/3/18,281.4
2018/3/19,285.2
2018/3/20,283.1
2018/3/21,279.6
2018/3/22,281.9
2018/3/23,279.8
2018/3/24,280.9
2018/3/25,290.7
2018/3/26,293.5
2018/3/27,289.2
2018/3/28,287.5
2018/3/29,289.4
2018/3/30,286.5
2018/3/31,283.5
2018/4/1,290.2
2018/4/2,291.5
2018/4/3,272.8
2018/4/4,281.41587
2018/4/5,281.55484
2018/4/6,281.66376
2018/4/7,265.9
2018/4/8,278.6
2018/4/9,280.7
2018/4/10,285.2
2018/4/11,293.7
2018/4/12,291.8
2018/4/13,269.3
2018/4/14,273.5
2018/4/15,288.1
2018/4/16,295.5
2018/4/17,296.6
2018/4/18,299
2018/4/19,297.9
2018/4/20,298.1
2018/4/21,260.2
2018/4/22,268.3
2018/4/23,277.3
2018/4/24,283.5
2018/4/25,286.2
2018/4/26,289.9
2018/4/27,292.5
2018/4/28,295.7
2018/4/29,279.5
2018/4/30,268.3
2018/5/1,275.8
2018/5/2,295.7
2018/5/3,298.5
2018/5/4,299.3
2018/5/5,287.4
2018/5/6,304
2018/5/7,307.8
2018/5/8,308.7
2018/5/9,310.7
2018/5/10,308.8
2018/5/11,295.8
2018/5/12,290.9
2018/5/13,306.6
2018/5/14,325.3
2018/5/15,317.4
2018/5/16,310.2
2018/5/17,291.3
2018/5/18,302
2018/5/19,289.2
2018/5/20,277.7
2018/5/21,275.2
2018/5/22,289
2018/5/23,302.5
2018/5/24,314.8
2018/5/25,317.6
2018/5/26,304.1
2018/5/27,315.6
2018/5/28,324.7
2018/5/29,331.1
2018/5/30,331.2
2018/5/31,334.8
2018/6/1,333.7
2018/6/2,324.9
2018/6/3,314.9
2018/6/4,337.4
2018/6/5,343.4
2018/6/6,339.5
2018/6/7,329.7
2018/6/8,325.2
2018/6/9,286.8
2018/6/10,306.9
2018/6/11,308.5
2018/6/12,311.1
2018/6/13,287.6
2018/6/14,303.1
2018/6/15,298.7
2018/6/16,282.3
2018/6/17,280
2018/6/18,285
2018/6/19,303.8
2018/6/20,310.8
2018/6/21,321.6
2018/6/22,315.7
2018/6/23,315.4
2018/6/24,325.3
2018/6/25,329.4
2018/6/26,335.4
2018/6/27,340.3
2018/6/28,346.5
2018/6/29,342
2018/6/30,325.3
2018/7/1,312.5
2018/7/2,317.6
2018/7/3,314.8
2018/7/4,327.8
2018/7/5,327.3
2018/7/6,322.4
2018/7/7,294.3
2018/7/8,298.3
2018/7/9,303.4
2018/7/10,301.9
2018/7/11,288.2
2018/7/12,298.4
2018/7/13,304.5
2018/7/14,299.3
2018/7/15,310.3
2018/7/16,300.5
2018/7/17,290.2
2018/7/18,306.4
2018/7/19,305
2018/7/20,313.4
2018/7/21,306.6
2018/7/22,300.4
2018/7/23,311.5
2018/7/24,299
2018/7/25,310.8
2018/7/26,312.6
2018/7/27,305.2
2018/7/28,300.5
2018/7/29,306.4
2018/7/30,322.7
2018/7/31,325.8
2018/8/1,330.9
2018/8/2,332.9
2018/8/3,330.6
2018/8/4,319.2
2018/8/5,320.9
2018/8/6,305.8
2018/8/7,310.2
2018/8/8,299.8
2018/8/9,312.5
2018/8/10,312.1
2018/8/11,290.2
2018/8/12,294.5
2018/8/13,305.6
2018/8/14,303.8
2018/8/15,311.3
2018/8/16,309.1
2018/8/17,310.3
2018/8/18,288.7
2018/8/19,295.5
2018/8/20,314
2018/8/21,312.7
2018/8/22,310.9
2018/8/23,314.6
2018/8/24,314.7
2018/8/25,308.3
2018/8/26,316.7
2018/8/27,322.8
2018/8/28,320.9
2018/8/29,322.5
2018/8/30,303.8
2018/8/31,313.5
2018/9/1,298
2018/9/2,292.8
2018/9/3,305.1
2018/9/4,308.1
2018/9/5,314.2
2018/9/6,312.8
2018/9/7,315.5
2018/9/8,304.7
2018/9/9,312.5
2018/9/10,315.7
2018/9/11,309.2
2018/9/12,307.2
2018/9/13,308.9
2018/9/14,307.2
2018/9/15,293.2
2018/9/16,308.8
2018/9/17,314.3
2018/9/18,308.5
2018/9/19,305.2
2018/9/20,308
2018/9/21,306.2
2018/9/22,294.7
2018/9/23,287.4
2018/9/24,293.2
2018/9/25,309
2018/9/26,304.6
2018/9/27,299.4
2018/9/28,287.9
2018/9/29,287.1
2018/9/30,283.5
2018/10/1,265.8
2018/10/2,257
2018/10/3,256.8
2018/10/4,258.1
2018/10/5,263.2
2018/10/6,269.4
2018/10/7,294
2018/10/8,300.3
2018/10/9,295.9
2018/10/10,298.5
2018/10/11,298.8
2018/10/12,297.2
2018/10/13,293
2018/10/14,296.9
2018/10/15,289.6
2018/10/16,288.4
2018/10/17,290.5
2018/10/18,292.1
2018/10/19,292.4
2018/10/20,288
2018/10/21,293.1
2018/10/22,296
2018/10/23,295.7
2018/10/24,296.2
2018/10/25,288.7
2018/10/26,288.7
2018/10/27,287.6
2018/10/28,293.4
2018/10/29,298.5
2018/10/30,297.7
2018/10/31,292.8
2018/11/1,295.4
2018/11/2,290.8
2018/11/3,283.1
2018/11/4,277.3
2018/11/5,287.4
2018/11/6,285.1
2018/11/7,284.8
2018/11/8,285.1
2018/11/9,285.4
2018/11/10,279.2
2018/11/11,286.9
2018/11/12,288.6
2018/11/13,283.8
2018/11/14,279.6
2018/11/15,280.6
2018/11/16,283.5
2018/11/17,278.1
2018/11/18,284.7
2018/11/19,286
2018/11/20,281.9
2018/11/21,281.3
2018/11/22,279.9
2018/11/23,279.3
2018/11/24,277.1
2018/11/25,282.4
2018/11/26,280.6
2018/11/27,280
2018/11/28,278
2018/11/29,277.2
2018/11/30,277.5
2018/12/1,272.2
2018/12/2,273.3
2018/12/3,277.2
2018/12/4,276.7
2018/12/5,274.5
2018/12/6,274.9
2018/12/7,273.7
2018/12/8,270.6
2018/12/9,278.3
2018/12/10,278.2
2018/12/11,279.4
2018/12/12,277.9
2018/12/13,276.9
2018/12/14,275.1
2018/12/15,270.4
2018/12/16,277.6
2018/12/17,279.6
2018/12/18,278.7
2018/12/19,275.5
2018/12/20,274
2018/12/21,274.9
2018/12/22,267
2018/12/23,274.7
2018/12/24,282.1
2018/12/25,274.2
2018/12/26,272.5
2018/12/27,275.2
2018/12/28,274.7
2018/12/29,275
2018/12/30,266.4
2018/12/31,261.4
2019/1/1,271.9
2019/1/2,278.5
2019/1/3,274.4
2019/1/4,274.8
2019/1/5,270.8
2019/1/6,278
2019/1/7,278.7
2019/1/8,275.8
