f0	f1	f2	f3	f6	f7	f8	f9	f10	f11	f12	label	index	raw	global	local	R	G	L	date	local_A	FAC1_1	FAC2_1	FAC3_1	FAC4_1
27.00	19.00	23.08	17	1	32	16.0000	3.60	11.25	.0	6.0	311.9	1	311.90000	311.90000	311.90000	1	1	1	01-Sep-2016	311.90000	.60317	-.77461	1.00501	-.06301
28.00	20.00	23.68	16	1	34	18.0000	11.70	15.20	.0	8.0	311.0	2	311.00000	311.00000	311.00000	1	1	1	02-Sep-2016	311.00000	.75459	-.73420	.97694	.04658
30.00	20.00	25.75	16	1	39	20.0000	14.50	17.32	.0	.0	303.6	3	303.60000	303.60000	303.60000	1	1	1	03-Sep-2016	303.60000	.83425	-.64629	1.19605	.06362
28.00	18.00	24.18	4	3	110	20.0000	15.70	17.68	7.0	70.0	.0	4		311.00000	309.00000	1	1	1	04-Sep-2016	309.00000	1.39773	.79353	-1.62120	-.08877
30.00	20.00	24.96	18	1	48	18.6000	11.20	15.41	.0	.0	318.8	5	318.80000	318.80000	318.80000	1	1	1	05-Sep-2016	318.80000	.73180	-.57438	1.28509	.00813
31.00	21.00	26.56	16	1	38	19.0000	8.00	14.19	.0	.0	313.6	6	313.60000	313.60000	313.60000	1	1	1	06-Sep-2016	313.60000	.82214	-.66852	1.21453	-.08425
31.00	19.00	22.70	16	2	65	18.0000	14.00	15.73	6.0	49.0	310.5	7	310.50000	310.50000	310.50000	1	1	1	07-Sep-2016	310.50000	1.03431	-.10359	-.25242	-.08563
31.00	18.00	24.50	18	1	39	17.0000	5.00	13.30	.0	2.0	296.6	8	296.60000	296.60000	296.60000	1	1	1	08-Sep-2016	296.60000	.66688	-.68125	1.22655	-.07564
31.00	19.00	24.66	16	1	38	16.0000	8.20	12.30	.0	.0	297.9	9	297.90000	297.90000	297.90000	1	1	1	09-Sep-2016	297.90000	.69681	-.68840	1.13178	-.04824
29.00	18.00	24.33	4	1	38	20.0000	9.70	13.92	9.0	145.0	294.0	10	294.00000	294.00000	294.00000	1	1	1	10-Sep-2016	294.00000	1.77020	-1.12596	-2.80824	-.31484
23.00	18.00	20.92	4	1	38	18.0000	15.00	16.25	3.0	46.0	289.9	11	289.90000	289.90000	289.90000	1	1	1	11-Sep-2016	289.90000	1.09636	-.81493	-.84188	.13919
26.00	18.00	22.92	16	2	51	19.0000	14.00	16.51	1.0	14.0	301.0	12	301.00000	301.00000	301.00000	1	1	1	12-Sep-2016	301.00000	.73961	-.09501	.65475	.09143
27.00	19.00	22.55	16	3	114	20.0000	17.40	18.53	1.0	18.0	296.1	13	296.10000	296.10000	296.10000	1	1	1	13-Sep-2016	296.10000	.79809	1.01722	.48188	.08271
30.00	20.00	23.40	16	3	137	20.0000	16.00	18.50	1.0	10.0	294.4	14	294.40000	294.40000	294.40000	1	1	1	14-Sep-2016	294.40000	.82953	1.26634	.66267	.01648
30.00	21.00	25.02	16	2	92	21.0000	16.00	19.18	.0	1.0	.0	15		295.00000	289.00000	1	1	1	15-Sep-2016	289.00000	.85791	.37384	1.06211	.05532
30.00	20.00	23.99	4	4	181	23.0000	13.30	18.88	3.0	23.0	275.1	16	275.10000	275.10000	275.10000	1	1	1	16-Sep-2016	275.10000	1.21185	2.16526	-.60021	-.09511
25.00	17.00	20.33	16	2	62	18.0000	14.60	16.44	8.0	20.0	272.9	17	272.90000	272.90000	272.90000	1	1	1	17-Sep-2016	272.90000	.78544	-.09151	-.07902	.09918
21.00	15.00	17.78	6	1	36	17.0000	9.90	13.68	1.0	8.0	277.9	18	277.90000	277.90000	277.90000	1	1	1	18-Sep-2016	277.90000	.67716	-.73780	-.05473	.22134
25.00	13.00	18.61	18	1	26	13.0000	6.50	9.95	.0	2.0	284.8	19	284.80000	284.80000	284.80000	1	1	1	19-Sep-2016	284.80000	.31431	-.84909	.94547	.11559
26.00	14.00	20.12	16	1	37	14.0000	5.80	10.43	.0	2.0	.0	20		288.00000	283.50000	1	1	1	20-Sep-2016	283.50000	.42859	-.73102	.85970	.06749
24.00	16.00	18.55	16	2	87	15.0000	10.50	13.85	.0	2.0	283.0	21	283.00000	283.00000	283.00000	1	1	1	21-Sep-2016	283.00000	.44279	.26556	.71943	.14772
26.00	18.00	20.37	5	3	130	18.0000	14.10	15.99	6.0	26.0	286.4	22	286.40000	286.40000	286.40000	1	1	1	22-Sep-2016	286.40000	1.02087	1.09139	-.88201	.03322
28.00	19.00	21.55	14	4	155	18.0000	15.00	17.35	5.0	18.0	280.9	23	280.90000	280.90000	280.90000	1	1	1	23-Sep-2016	280.90000	.83895	1.85892	-.09853	-.01045
29.00	20.00	22.69	4	3	145	20.0000	16.50	18.22	.0	2.0	278.6	24	278.60000	278.60000	278.60000	1	1	1	24-Sep-2016	278.60000	1.00887	1.39123	.03667	.07696
26.00	20.00	22.50	5	5	214	19.2000	17.00	18.28	12.0	53.0	.0	25		283.00000	278.67000	1	1	1	25-Sep-2016	278.67000	1.30408	2.77937	-1.96343	-.11718
25.00	19.00	19.20	5	2	83	19.0000	4.00	16.50	1.0	14.0	274.9	26	274.90000	274.90000	274.90000	1	1	1	26-Sep-2016	274.90000	.90838	.22778	-.18310	.02017
24.00	12.00	15.79	16	1	47	5.0000	-.20	2.75	.0	.0	.0	27		281.00000	277.00000	1	1	1	27-Sep-2016	277.00000	.06803	-.69553	.65353	.03755
20.00	10.00	13.41	18	1	28	8.0000	-1.20	3.38	.0	.0	278.3	28	278.30000	278.30000	278.30000	1	1	1	28-Sep-2016	278.30000	-.05189	-.87876	.70444	.11473
22.00	12.00	15.85	16	2	70	11.0000	2.50	7.33	.0	.0	275.4	29	275.40000	275.40000	275.40000	1	1	1	29-Sep-2016	275.40000	.16264	.06019	.58864	.08830
24.00	14.00	18.04	16	3	125	13.0000	7.00	10.19	.0	.0	.0	30		277.80680	276.00000	1	1	1	30-Sep-2016	276.00000	.30026	1.11515	.57295	.05793
26.00	16.00	18.47	14	5	210	15.0000	7.30	12.51	1.0	7.0	.0	31		277.00000	275.00000	1	1	1	01-Oct-2016	275.00000	.47430	2.92909	.09397	-.06282
26.00	17.00	20.58	14	5	235	17.1000	11.40	15.26	.0	.0	.0	32		275.70000	275.00000	1	1	1	02-Oct-2016	275.00000	.53490	3.22069	.32983	-.01019
28.00	17.00	21.85	5	4	160	18.6000	11.00	15.20	.0	.0	.0	33		274.80000	274.60000	1	1	1	03-Oct-2016	274.60000	.82849	2.01740	-.04110	.00011
20.00	11.00	15.19	6	2	63	14.1000	9.00	12.75	6.0	14.0	.0	34		274.00000	274.39422	1	1	1	04-Oct-2016	274.39422	.59257	-.07109	-.77334	.22143
23.00	13.00	16.39	16	2	73	14.0000	11.30	13.11	.0	3.0	.0	35		273.00000	274.12194	1	1	1	05-Oct-2016	274.12194	.33188	.11609	.62437	.22247
19.00	14.00	14.63	3	2	100	14.1000	11.00	12.49	25.0	50.0	.0	36		272.00000	273.91968	1	1	1	06-Oct-2016	273.91968	1.12322	-.01751	-3.08888	.04180
17.00	12.00	12.96	6	2	58	13.1000	-2.50	7.57	6.0	12.0	.0	37		271.00000	273.71852	1	1	-1	07-Oct-2016	273.71852	.43745	-.14231	-.84423	.07327
19.00	5.00	10.14	18	1	26	4.0000	-3.90	.82	.0	.0	.0	38		270.50000	273.55320	1	1	-1	08-Oct-2016	273.55320	-.28516	-.92912	.53918	.17004
18.00	8.00	10.27	16	2	52	6.0000	.00	3.78	.0	.0	.0	39		269.92435	273.42195	1	1	-1	09-Oct-2016	273.42195	-.15657	-.15742	.35668	.19779
19.00	10.00	12.05	16	3	110	10.0000	5.30	7.58	.0	.0	.0	40		269.00000	273.32295	1	1	-1	10-Oct-2016	273.32295	-.00172	.93568	.33196	.19375
20.00	10.00	14.53	18	4	152	11.0000	7.40	9.30	.0	.0	274.9	41	274.90000	274.90000	274.90000	1	1	-1	11-Oct-2016	274.90000	.02344	1.85047	.41598	.15432
19.00	10.00	13.98	14	2	96	12.0000	7.50	10.05	.0	.0	271.5	42	271.50000	271.50000	271.50000	1	1	-1	12-Oct-2016	271.50000	.14366	.32228	.33925	.25316
22.00	12.00	15.67	14	4	178	14.0000	11.40	12.67	.0	.0	276.6	43	276.60000	276.60000	276.60000	1	1	-1	13-Oct-2016	276.60000	.26870	2.13721	.23112	.17149
23.00	13.00	14.86	14	5	282	15.0000	9.00	12.36	.0	.0	274.6	44	274.60000	274.60000	274.60000	1	1	-1	14-Oct-2016	274.60000	.26022	3.64891	.05177	.05805
17.00	12.00	15.11	6	5	245	14.0000	11.20	12.90	1.0	7.0	267.4	45	267.40000	267.40000	267.40000	1	1	-1	15-Oct-2016	267.40000	.38207	3.26085	-.74292	.18575
21.00	12.00	14.49	14	4	163	14.0000	9.00	12.08	.0	.0	275.9	46	275.90000	275.90000	275.90000	1	1	-1	16-Oct-2016	275.90000	.23045	1.98703	.21146	.16489
21.00	9.00	16.66	18	2	86	12.8000	3.00	9.02	.0	.0	284.4	47	284.40000	284.40000	284.40000	1	1	-1	17-Oct-2016	284.40000	.10939	.22148	.68092	.13034
21.00	11.00	16.16	16	4	151	15.0000	11.80	13.83	.0	.0	276.5	48	276.50000	276.50000	276.50000	1	1	1	18-Oct-2016	276.50000	.23606	1.87750	.39003	.20901
22.00	14.00	16.47	14	5	268	15.3000	7.00	13.90	.0	3.0	276.8	49	276.80000	276.80000	276.80000	1	1	1	19-Oct-2016	276.80000	.32433	3.51110	.04808	.03645
15.00	11.00	12.27	6	3	139	10.0000	3.70	7.48	8.0	17.0	270.8	50	270.80000	270.80000	270.80000	1	1	1	20-Oct-2016	270.80000	.36438	1.09115	-1.33124	.13558
13.00	11.00	11.16	6	2	61	10.1000	6.00	8.96	9.0	12.0	267.4	51	267.40000	267.40000	267.40000	1	1	1	21-Oct-2016	267.40000	.36009	-.16058	-1.20098	.27677
14.00	7.00	10.30	16	1	26	9.1000	1.10	3.72	.0	.0	272.0	52	272.00000	272.00000	272.00000	1	1	1	22-Oct-2016	272.00000	-.17355	-.90250	.39602	.28341
15.00	5.00	10.44	18	1	44	7.0000	-2.10	3.06	.0	.0	278.8	53	278.80000	278.80000	278.80000	1	1	1	23-Oct-2016	278.80000	-.27570	-.74131	.48283	.24437
14.00	6.00	8.60	14	2	86	8.0000	4.00	6.35	.0	.0	.0	54		260.30000	274.13551	1	1	1	24-Oct-2016	274.13551	-.17829	.18402	.08824	.34938
17.00	10.00	12.22	14	3	127	10.0000	-3.00	7.55	.0	.0	278.1	55	278.10000	278.10000	278.10000	1	1	1	25-Oct-2016	278.10000	.00411	1.09912	.14217	.11193
15.00	9.00	12.17	17	2	81	5.0000	-8.00	.99	.0	.0	276.9	56	276.90000	276.90000	276.90000	1	1	1	26-Oct-2016	276.90000	-.23817	.10549	.35081	.06154
11.00	7.00	8.25	6	2	54	8.0000	-3.00	4.93	13.0	17.0	267.0	57	267.00000	267.00000	267.00000	1	1	1	27-Oct-2016	267.00000	.22206	-.31774	-1.75025	.18965
13.00	2.00	6.78	18	1	26	.0001	-999.90	-47.23	.0	.0	274.8	58	274.80000	274.80000	274.80000	1	1	1	28-Oct-2016	274.80000	-1.80047	-1.30863	-.20311	-12.51704
11.00	2.00	6.12	17	1	48	.0001	-7.10	-3.01	.0	.0	.0	59		258.12184	274.74936	1	1	1	29-Oct-2016	274.74936	-.60258	-.75855	.15989	.27063
13.00	2.00	5.79	17	2	71	1.0000	-21.90	-8.52	.0	.0	272.7	60	272.70000	272.70000	272.70000	1	1	1	30-Oct-2016	272.70000	-.65633	-.05200	.06863	-.04714
6.00	-4.00	1.69	18	1	26	-6.0000	-20.00	-14.01	.0	.0	.0	61		257.30000	274.94561	1	1	1	31-Oct-2016	274.94561	-1.08324	-1.04910	-.07179	.17384
8.00	-2.00	1.99	16	2	60	-3.0000	-11.00	-6.33	.0	.0	.0	62		256.90000	275.00000	1	1	1	01-Nov-2016	275.00000	-.85087	-.17571	-.18938	.29137
12.00	1.00	5.42	18	3	130	.1000	-4.00	-1.89	.0	.0	.0	63		256.61419	275.09547	1	1	1	02-Nov-2016	275.09547	-.65934	1.03614	-.00966	.24976
15.00	2.00	4.96	14	5	224	4.5000	-1.00	2.00	.0	.0	275.6	64	275.60000	275.60000	275.60000	1	1	1	03-Nov-2016	275.60000	-.45171	2.98478	-.42149	.19601
15.00	4.00	6.55	14	5	294	6.0000	2.60	5.18	.0	.0	.0	65		255.80000	275.00000	1	1	1	04-Nov-2016	275.00000	-.35069	3.68373	-.43692	.21323
17.00	2.00	8.38	16	5	231	7.0000	-1.00	3.65	.0	.0	270.9	66	270.90000	270.90000	270.90000	1	1	1	05-Nov-2016	270.90000	-.36026	3.06924	-.18518	.13406
9.00	3.00	7.26	6	3	101	3.0000	-5.60	-1.51	.0	1.0	274.8	67	274.80000	274.80000	274.80000	1	1	1	06-Nov-2016	274.80000	-.32756	.77965	-.76561	.24101
11.00	2.00	6.40	17	2	63	3.0000	-10.00	-5.73	.0	.0	277.9	68	277.90000	277.90000	277.90000	1	1	1	07-Nov-2016	277.90000	-.60572	-.11352	.08454	.14538
10.00	-1.00	4.42	18	2	51	-1.0000	-7.60	-3.66	.0	.0	.0	69		255.00000	275.19547	1	1	1	08-Nov-2016	275.19547	-.74667	-.24424	.06727	.29545
10.00	2.00	4.79	14	4	182	2.0000	-2.10	1.17	.0	.0	274.4	70	274.40000	274.40000	274.40000	1	1	1	09-Nov-2016	274.40000	-.55421	2.05947	-.41247	.28970
9.00	.01	5.05	14	5	232	3.5000	-9.00	-.58	.0	2.0	271.5	71	271.50000	271.50000	271.50000	1	-1	-1	10-Nov-2016	271.50000	-.61613	3.03302	-.61457	.15441
11.00	1.00	4.58	16	3	108	1.0000	-4.00	-1.44	.0	.0	.0	72		252.00000	274.81870	1	1	1	11-Nov-2016	274.81870	-.62052	.82837	-.13590	.28308
12.00	2.00	8.48	14	3	102	4.4000	-1.00	1.97	.0	.0	.0	73		253.84922	274.65787	1	1	1	12-Nov-2016	274.65787	-.39455	.80176	-.13087	.28473
11.00	3.00	7.30	14	3	121	6.0000	-4.00	3.90	.0	.0	.0	74		253.60000	274.46739	1	1	1	13-Nov-2016	274.46739	-.37302	.99671	-.15925	.27439
12.00	-2.00	6.88	16	2	85	-5.0000	-17.80	-12.66	.0	.0	.0	75		253.40000	274.28017	1	1	1	14-Nov-2016	274.28017	-.83039	.04613	-.12512	.01866
10.00	-1.00	4.78	16	1	49	1.5000	-14.60	-3.86	.0	.0	.0	76		253.25000	274.03358	1	1	1	15-Nov-2016	274.03358	-.66012	-.75047	.02221	.21562
11.00	2.00	5.86	14	3	125	2.1000	-2.50	.04	.0	.0	.0	77		253.10000	273.79800	1	1	1	16-Nov-2016	273.79800	-.51131	1.00715	-.24404	.28814
7.00	5.00	6.18	14	4	151	3.0000	-2.00	.19	.0	.0	.0	78		252.90000	273.49498	1	1	1	17-Nov-2016	273.49498	-.51984	1.75742	-.36578	.27388
10.00	6.00	6.49	14	5	237	7.0000	1.10	4.88	.0	1.0	.0	79		252.77039	273.21128	1	-1	-1	18-Nov-2016	273.21128	-.36685	3.12396	-.43914	.24533
13.00	3.00	8.90	16	4	167	6.0000	-7.30	1.21	1.0	6.0	.0	80		252.61000	272.85272	1	-1	-1	19-Nov-2016	272.85272	-.37587	1.90550	-.28524	.09219
5.00	-1.00	1.58	8	2	82	2.0000	-4.00	-.89	7.0	17.0	.0	81		252.50000	272.46509	1	-1	-1	20-Nov-2016	272.46509	-.39514	-.03999	-1.56060	.38409
.01	-9.00	-3.02	10	1	22	-4.4000	-21.50	-14.96	.0	1.0	.0	82		252.40000	272.04921	1	-1	-1	21-Nov-2016	272.04921	-1.13737	-1.09120	-.84548	.32058
.01	-9.00	-3.22	16	1	24	-14.0000	-20.80	-16.93	.0	.0	.0	83		252.30000	271.67105	1	-1	-1	22-Nov-2016	271.67105	-1.43095	-1.12069	-.51053	.35619
3.00	-7.00	-1.80	18	1	34	-10.0000	-20.00	-14.62	.0	.0	.0	84		252.20000	271.20563	1	-1	-1	23-Nov-2016	271.20563	-1.29461	-.99704	-.25378	.29376
4.00	-6.00	-1.52	18	2	87	-7.0000	-13.00	-9.98	.0	.0	.0	85		252.10000	270.71549	1	-1	-1	24-Nov-2016	270.71549	-1.18011	.04530	-.30885	.35704
5.00	-5.00	.40	14	4	188	-2.8000	-10.00	-5.81	.0	.0	.0	86		252.09410	270.20222	1	-1	-1	25-Nov-2016	270.20222	-.96709	2.06020	-.72826	.30377
8.00	-4.00	1.76	14	6	312	-1.7000	-12.00	-4.72	.0	.0	.0	87		252.00000	269.66000	1	-1	-1	26-Nov-2016	269.66000	-.90852	4.27262	-.92344	.13319
7.00	-5.00	1.15	18	2	93	-9.0000	-18.00	-12.85	.0	.0	.0	88		251.98269	269.19402	1	-1	-1	27-Nov-2016	269.19402	-1.14484	.09239	-.24119	.18909
8.00	-4.00	.78	14	2	80	-6.0000	-12.00	-8.42	.0	.0	.0	89		251.95000	268.62535	1	-1	-1	28-Nov-2016	268.62535	-.93020	.00112	-.42186	.29830
3.00	-3.00	1.77	11	3	127	-1.3000	-6.10	-3.23	.0	2.0	.0	90		251.90000	268.04160	1	-1	-1	29-Nov-2016	268.04160	-.79002	.98377	-.78186	.41423
9.00	-1.00	4.62	14	3	132	-1.0000	-11.00	-6.57	.0	.0	264.9	91	264.90000	264.90000	264.90000	1	-1	-1	30-Nov-2016	264.90000	-.73889	1.03430	-.39978	.17710
9.00	-4.00	2.38	18	1	44	-6.5000	-15.00	-9.78	.0	.0	266.1	92	266.10000	266.10000	266.10000	1	-1	-1	01-Dec-2016	266.10000	-.98428	-.85649	-.01272	.24591
9.00	-3.00	1.71	14	3	118	-4.0000	-10.00	-6.47	.0	.0	.0	93		251.86993	266.31372	1	-1	-1	02-Dec-2016	266.31372	-.85169	.88458	-.46940	.26698
9.00	-2.00	1.53	14	5	220	.3000	-5.00	-2.62	.0	.0	.0	94		251.80000	265.69674	1	-1	-1	03-Dec-2016	265.69674	-.77443	2.90038	-.67416	.26269
9.00	-2.00	2.96	14	5	290	1.3000	-6.30	-2.90	.0	.0	264.1	95	264.10000	264.10000	264.10000	1	-1	-1	04-Dec-2016	264.10000	-.76028	3.58357	-.73825	.19612
6.00	-5.00	-.56	16	2	88	-2.0000	-21.00	-14.35	.0	.0	.0	96		264.37384	264.46161	1	-1	-1	05-Dec-2016	264.46161	-1.06564	.06531	-.37221	.12412
6.00	-3.00	-.11	16	2	98	-7.0000	-14.00	-9.86	.0	.0	262.7	97	262.70000	262.70000	262.70000	1	-1	-1	06-Dec-2016	262.70000	-1.03821	.16142	-.36356	.27583
8.00	-2.00	2.60	17	4	154	-1.0000	-8.10	-4.04	.0	.0	263.5	98	263.50000	263.50000	263.50000	1	1	1	07-Dec-2016	263.50000	-.84929	1.74635	-.34127	.25605
7.00	-2.00	3.10	16	3	145	-1.0000	-15.50	-11.37	.0	.0	262.3	99	262.30000	262.30000	262.30000	1	1	1	08-Dec-2016	262.30000	-.91634	1.13649	-.37948	.09922
4.00	-5.00	-1.15	14	1	34	-8.0000	-17.00	-11.93	.0	.0	.0	100		252.10148	262.24137	1	1	1	09-Dec-2016	262.24137	-1.08811	-.97076	-.44034	.32247
5.00	-4.00	-1.51	14	2	66	-8.5000	-16.00	-11.29	.0	.0	258.0	101	258.00000	258.00000	258.00000	1	1	1	10-Dec-2016	258.00000	-1.07869	-.16006	-.52368	.29311
5.00	-1.00	1.03	14	4	197	-3.4000	-9.00	-5.13	.0	.0	262.4	102	262.40000	262.40000	262.40000	1	1	1	11-Dec-2016	262.40000	-.89419	2.15122	-.68299	.28008
5.00	-2.00	2.04	14	5	271	-2.7000	-14.00	-5.44	.0	.0	263.1	103	263.10000	263.10000	263.10000	1	1	1	12-Dec-2016	263.10000	-.92066	3.36768	-.83964	.15827
4.00	-7.00	-.42	16	2	87	-9.2000	-18.40	-15.80	.0	.0	261.8	104	261.80000	261.80000	261.80000	1	1	1	13-Dec-2016	261.80000	-1.24002	.01977	-.48298	.22401
2.00	-6.00	-1.93	18	1	38	-10.0000	-18.80	-14.58	.0	.0	263.4	105	263.40000	263.40000	263.40000	1	1	1	14-Dec-2016	263.40000	-1.29512	-.95862	-.26596	.31176
6.00	-6.00	-.95	18	2	53	-9.6000	-20.00	-14.19	.0	.0	261.6	106	261.60000	261.60000	261.60000	1	1	1	15-Dec-2016	261.60000	-1.22425	-.30647	-.26212	.20954
6.00	-6.00	-.56	16	3	124	-6.2000	-13.00	-8.94	.0	.0	262.0	107	262.00000	262.00000	262.00000	1	1	1	16-Dec-2016	262.00000	-1.08729	.91493	-.49536	.29660
7.00	-4.00	-.88	14	5	222	-3.4000	-9.00	-5.75	.0	.0	257.9	108	257.90000	257.90000	257.90000	1	1	1	17-Dec-2016	257.90000	-.96562	2.88914	-.81443	.26432
7.00	-4.00	-.69	14	5	271	-2.8000	-8.00	-6.12	.0	.0	259.1	109	259.10000	259.10000	259.10000	1	1	1	18-Dec-2016	259.10000	-.97032	3.36641	-.87271	.24850
8.00	-4.00	.00	14	5	254	-3.3000	-7.00	-5.12	.0	.0	260.0	110	260.00000	260.00000	260.00000	1	1	1	19-Dec-2016	260.00000	-.93459	3.20472	-.82066	.26348
8.00	5.00	-1.82	14	6	398	-2.0000	-5.00	-2.88	.0	.0	255.7	111	255.70000	255.70000	255.70000	1	1	1	20-Dec-2016	255.70000	-.81597	5.11950	-.97326	.16977
3.00	-3.00	1.36	14	6	429	-1.3000	-12.00	-3.32	.0	.0	257.2	112	257.20000	257.20000	257.20000	1	1	1	21-Dec-2016	257.20000	-.98001	5.40808	-1.14699	.16652
6.00	-5.00	.40	18	3	110	-11.9000	-15.30	-13.54	.0	.0	261.0	113	261.00000	261.00000	261.00000	1	1	1	22-Dec-2016	261.00000	-1.23173	.74035	-.38041	.22122
3.00	-6.00	-2.01	16	1	42	-9.2000	-16.00	-12.19	.0	.0	259.2	114	259.20000	259.20000	259.20000	1	1	1	23-Dec-2016	259.20000	-1.19696	-.90395	-.36947	.36460
4.00	-5.00	-2.38	14	4	151	-7.0000	-9.70	-8.21	.0	.0	253.8	115	253.80000	253.80000	253.80000	1	1	1	24-Dec-2016	253.80000	-1.10201	1.67441	-.78072	.35718
3.00	-2.00	.01	11	4	191	-4.8000	-10.00	-5.93	.0	1.0	260.6	116	260.60000	260.60000	260.60000	1	1	1	25-Dec-2016	260.60000	-.91431	2.08251	-.96758	.31643
3.00	-7.00	-1.34	17	2	79	-9.5000	-20.00	-16.44	.0	.0	263.0	117	263.00000	263.00000	263.00000	1	1	1	26-Dec-2016	263.00000	-1.30194	-.06492	-.44337	.22144
2.00	-7.00	-1.72	16	2	51	-5.7000	-18.00	-11.68	.0	.0	261.3	118	261.30000	261.30000	261.30000	1	1	1	27-Dec-2016	261.30000	-1.18320	-.30693	-.44614	.31637
4.00	-7.00	-2.25	18	3	101	-6.4000	-20.00	-17.19	.0	.0	261.0	119	261.00000	261.00000	261.00000	1	1	1	28-Dec-2016	261.00000	-1.30465	.65490	-.45053	.15566
4.00	-7.00	-3.54	16	2	61	-7.6000	-19.00	-13.68	.0	.0	.0	120		254.60212	257.71068	1	1	1	29-Dec-2016	257.71068	-1.23441	-.22148	-.47536	.28063
5.00	-6.00	-4.62	14	5	240	-6.7000	-13.00	-9.23	.0	.0	259.0	121	259.00000	259.00000	259.00000	1	1	1	30-Dec-2016	259.00000	-1.17991	3.03302	-.99486	.26813
4.00	-5.00	-3.25	14	6	321	-4.9000	-12.00	-7.48	.0	.0	251.9	122	251.90000	251.90000	251.90000	1	1	1	31-Dec-2016	251.90000	-1.14113	4.32971	-1.12909	.22796
5.00	-3.00	-4.47	14	6	450	-4.0000	-10.00	-6.42	.0	.0	243.4	123	243.40000	243.40000	243.40000	1	1	-1	01-Jan-2017	258.38296	-1.11766	5.59241	-1.26191	.19893
7.00	-6.00	-1.53	14	5	246	-3.5000	-12.00	-7.70	.0	.0	257.3	124	257.30000	257.30000	257.30000	1	1	1	02-Jan-2017	257.30000	-1.04088	3.11305	-.89081	.21959
5.00	-5.00	-1.48	14	6	320	-2.7000	-10.00	-5.75	.0	.0	261.2	125	261.20000	261.20000	261.20000	1	1	1	03-Jan-2017	261.20000	-1.04627	4.33667	-1.05903	.23055
6.00	-5.00	-.24	14	6	360	-1.0000	-6.00	-3.05	.0	.0	257.7	126	257.70000	257.70000	257.70000	1	1	1	04-Jan-2017	257.70000	-.96336	4.74328	-1.04819	.26612
2.00	-4.00	-.85	14	5	280	-1.4000	-7.00	-4.62	.0	.0	256.8	127	256.80000	256.80000	256.80000	1	1	1	05-Jan-2017	256.80000	-1.01215	3.45648	-.95668	.33353
4.00	-2.00	.97	14	5	234	-2.1000	-6.00	-3.76	.0	.0	257.3	128	257.30000	257.30000	257.30000	1	1	1	06-Jan-2017	257.30000	-.90897	3.01554	-.81050	.31315
2.00	-3.00	1.11	10	5	206	1.0000	-9.00	-2.43	1.0	3.0	252.1	129	252.10000	252.10000	252.10000	1	1	1	07-Jan-2017	252.10000	-.77388	2.74207	-1.18555	.31264
5.00	-4.00	2.30	17	2	59	-6.4000	-14.00	-11.45	.0	.0	262.3	130	262.30000	262.30000	262.30000	1	1	1	08-Jan-2017	262.30000	-1.05562	-.22295	-.24305	.25652
3.00	-5.00	.36	18	1	42	-7.1000	-18.00	-13.18	.0	.0	263.8	131	263.80000	263.80000	263.80000	1	1	1	09-Jan-2017	263.80000	-1.17254	-.90074	-.17981	.27329
4.00	-6.00	-2.11	18	1	46	-11.6000	-20.10	-15.77	.0	.0	261.4	132	261.40000	261.40000	261.40000	1	1	1	10-Jan-2017	261.40000	-1.30698	-.88810	-.26147	.26382
5.00	-5.00	-.47	18	2	82	-10.0000	-16.00	-12.74	.0	.0	260.6	133	260.60000	260.60000	260.60000	1	1	1	11-Jan-2017	260.60000	-1.20805	-.02130	-.29220	.26839
5.00	-4.00	1.48	18	2	61	-9.0000	-18.00	-14.04	.0	.0	260.3	134	260.30000	260.30000	260.30000	1	1	1	12-Jan-2017	260.30000	-1.16015	-.22440	-.22365	.19487
3.00	-6.00	-1.75	18	1	26	-18.0000	-26.00	-21.54	.0	.0	260.6	135	260.60000	260.60000	260.60000	1	1	1	13-Jan-2017	260.60000	-1.47301	-1.12770	-.32190	.16664
3.00	-7.00	-1.88	18	1	35	-7.9000	-24.10	-14.88	.0	.0	255.3	136	255.30000	255.30000	255.30000	1	1	1	14-Jan-2017	255.30000	-1.27330	-.98112	-.24454	.22733
1.00	-6.00	-2.90	14	2	71	-7.0000	-9.30	-7.93	.0	1.0	256.1	137	256.10000	256.10000	256.10000	1	1	1	15-Jan-2017	256.10000	-1.12350	-.10449	-.63261	.49363
1.00	-5.00	-1.57	14	3	123	-5.0000	-7.90	-6.28	.0	.0	256.0	138	256.00000	256.00000	256.00000	1	1	1	16-Jan-2017	256.00000	-1.06585	.91507	-.69463	.45577
4.00	-5.00	-2.52	14	4	175	-5.0000	-16.00	-9.15	.0	.0	254.6	139	254.60000	254.60000	254.60000	1	1	1	17-Jan-2017	254.60000	-1.09838	1.91067	-.80702	.24770
2.00	-4.00	-1.97	10	2	59	-5.0000	-18.00	-12.99	.0	2.0	255.6	140	255.60000	255.60000	255.60000	1	1	1	18-Jan-2017	255.60000	-1.00699	-.22470	-.85881	.27007
1.00	-8.00	-5.47	18	2	86	-7.0000	-25.00	-20.42	.0	.0	253.9	141	253.90000	253.90000	253.90000	1	1	1	19-Jan-2017	253.90000	-1.45239	-.00881	-.50059	.16647
1.00	-8.00	-5.81	16	1	35	-17.0000	-22.30	-19.30	.0	.0	255.2	142	255.20000	255.20000	255.20000	1	1	1	20-Jan-2017	255.20000	-1.51311	-1.03209	-.56800	.32729
